id	ticker	snapshot_date	payload_bytes	payload_sha256
71	MRNA	2025-12-25	6103	1d5bfac25944747aefa08fc87e097670739107ce5461424e00603ee336ba4e12
72	MRVL	2025-12-25	6118	7ed1942fec3b15846f4d78d69a652138154412cbb79970fbaa135ab4228d8179
73	MSFT	2025-12-25	6184	34246d909a46f1d857de51d4a9028346d3c5b847ed7fb8ae9fe9552103cf66d9
74	MU	2025-12-25	6091	1369dc6e8b5511618bc4497f427aad728851e3f1f7ddae154c56af8d90c938c9
75	NBIS	2025-12-25	6103	82ef0e752f2aeb2bea84bfc1c2347a75aaa2dceb3058d28ca3f94e3d90c77c89
76	NET	2025-12-25	6082	bf6f01c71ee51e1893f865b159491130dac0085ec417af49e33d12cf346c85cd
77	NFLX	2025-12-25	6119	dc6d1bb2ed3cd34fd1c6680c2a6e4dc78a5d3b976d77c9bea94e6fcfd100f913
78	NOW	2025-12-25	6075	8f9b145dfb06263fa6f9a77a73b9a53553bff3dde689370212f3a29bbc74cf09
79	NVDA	2025-12-25	6188	67d48dd0168acd55f925d7f65a75699561c1dfeada32059d49a9b6feb71a2bb5
80	NXPI	2025-12-25	6067	19ccca4fbd3aabae6c613c5e98c8c72d4eeb552913a998f2c1b4565a57b73303
81	OKTA	2025-12-25	6058	340c62b89a003c5195dea06d15db4d31e68dc2ab6746a9e739516ba1505900f6
82	ON	2025-12-25	6081	edd4fb8a839edfdec7c481845845d3c55e50c33aba05ecadb538c7cc7f14b255
83	ORCL	2025-12-25	6158	b344c2b31fda7a9164d20d7f854a3a1fc6f941f0550576d678756a2269f1548e
84	PANW	2025-12-25	6111	9db3126d0608c601e55f74a71ba1812d15c972bfacd02f6a9cbfeaa32ca8b638
85	PARR	2025-12-25	6142	5ca3fe1a7acc71c069b5f6c9de354ae77eafecec2f964a03d01a04b727c4af2a
86	PATH	2025-12-25	6166	8020f21cb0257302b1084b6b3ec6ec33922d73775adc57c536032bc630506e6d
87	PDD	2025-12-25	6132	d1d90e7c1b4bd6d283a034a1411bb66088d469014f5551706534f1796db34200
88	PINS	2025-12-25	6038	a3fbb32ed707cf75e35fa82fa2ccf91b76366e9f59811a3940807f4142f7fa18
89	PLTR	2025-12-25	6139	4f1693802f9c1c5a0abe8865e2fb04b826d640371852197160ed845c44718e1d
90	PLUG	2025-12-25	6168	4db0f9f100d993abb34a55bba5392944995f5fff72133517ed7be309aa0e615c
91	POOL	2025-12-25	6047	3453d40f17cca85fe5f3d8ebee27989acf1c810bc0d678082eadbd60514a39da
92	POWL	2025-12-25	6121	9bc217455631f25a9695a8df1705515e3943892dd14e799a9dd0d7c008a71bdc
93	PPC	2025-12-25	6073	4015fafec12c31024f9c725d1f8ec444f1433112909561c770a37c899e75e0d2
94	PYPL	2025-12-25	6084	6174be048815a9b50eb93a23d1b1cd62458e1c9c3861805fe2872dc39b6f026d
95	QCOM	2025-12-25	6128	0304110e43c31ef49d55aef2330f43cff8cdcd7b6a783a0d5b1091aabf1185bf
